
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
======================================================================
Ep   10/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 0.0000 | ε: 0.996
Ep   20/3000 | Score:      0 | Pieces:  12 | Lines:   0 | Loss: 0.0000 | ε: 0.991
Ep   30/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.986
Ep   40/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 0.0000 | ε: 0.981
Ep   50/3000 | Score:      0 | Pieces:  15 | Lines:   0 | Loss: 0.0000 | ε: 0.976
Ep   60/3000 | Score:      0 | Pieces:  25 | Lines:   0 | Loss: 0.0000 | ε: 0.971
Ep   70/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 0.0000 | ε: 0.966
New best score: 11 (< 1000, chưa lưu file)
Ep   80/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 0.0000 | ε: 0.961
Ep   90/3000 | Score:      0 | Pieces:  13 | Lines:   0 | Loss: 0.0000 | ε: 0.956
Ep  100/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 0.0000 | ε: 0.951
Ep  110/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 0.0000 | ε: 0.946
Ep  120/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 0.0000 | ε: 0.941
Ep  130/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 0.0000 | ε: 0.936
Ep  140/3000 | Score:      0 | Pieces:  20 | Lines:   0 | Loss: 0.0000 | ε: 0.931
Ep  150/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 0.0000 | ε: 0.926
Ep  160/3000 | Score:      0 | Pieces:  23 | Lines:   0 | Loss: 210.5798 | ε: 0.921
Ep  170/3000 | Score:      0 | Pieces:  21 | Lines:   0 | Loss: 129.3640 | ε: 0.916
Ep  180/3000 | Score:      0 | Pieces:  19 | Lines:   0 | Loss: 199.5241 | ε: 0.911
Ep  190/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 281.1324 | ε: 0.906
Ep  200/3000 | Score:      0 | Pieces:  14 | Lines:   0 | Loss: 420.9480 | ε: 0.901
Ep  210/3000 | Score:      0 | Pieces:  17 | Lines:   0 | Loss: 538.5339 | ε: 0.896
Ep  220/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 733.3337 | ε: 0.891
Ep  230/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 847.2938 | ε: 0.886
Ep  240/3000 | Score:      0 | Pieces:  16 | Lines:   0 | Loss: 1009.7544 | ε: 0.881
Ep  250/3000 | Score:      0 | Pieces:  18 | Lines:   0 | Loss: 1136.8649 | ε: 0.876
